,陳情內容,回覆單位,問題類別,張貼日期,修改日期,人氣指數,答覆內容
1,請問如何申請0~2歲保母托育費用補助？,高雄市政府社會局,社會,20110110,20161215,10340,"一、補助對象：符合下列條件(一)父母(或監護人)雙方或單親一方皆就業，或父母一方就業、另一方因中重度身心障礙、或服義務役、或處1年以上之徒刑或受拘束人身自由之保安處分1年以上且執行中，致無法自行照顧家中未滿2歲幼兒，而需送請居家托育服務中心居家托育人員或托嬰中心照顧者。(二)父母(或監護人)雙方或單親一方經稅捐稽徵機關核定之最近1年綜合所得總額合計皆未達申報標準或綜合所得稅稅率未達20％者。(三)戶籍登記為同一母親或父親，有三位以上子 女之家庭，其未滿2歲幼兒需送請居家托育服務中心居家托育人員或托嬰中心照顧者，不受父母綜合所得稅稅率未達20%及父母雙方須就業之限制。二、補助標準：(一)一般家庭：1.送托有保母證照之托育人員，補助金額為一般家庭每月最高3,000元。2.送托相關科系畢業或修畢托育人員專業訓練課程之托育人員，補助金額為一般家庭每月最高2,000元。(二)弱勢家庭：中低收入戶、低收入戶、家有未  滿2歲之發展遲緩或身心障礙幼兒之家庭、特殊境遇家庭、高風險家庭。1.送托有保母證照之托育人員，中低收入戶補助每位未滿2歲之幼兒每月最高4,000元；低收入戶、家有未滿2歲之發展遲緩或身心障礙幼兒之家庭、特殊境遇家庭、高風險家庭補助每位未滿2歲之幼兒每月最高5,000元。2.送托相關科系畢業或修畢托育人員專業訓練課程之托育人員，中低收入戶每月最高3,000元，低收入戶、家有未滿2歲之發展遲緩或身心障礙幼兒之家庭、特殊境遇家庭、高風險家庭每月最高4,000元。三、應備申請文件：(下列文件如為影本請加註『與正本相符』，並蓋申請人私章)(一)申請表(請洽各居家托育服務中心或兒童就托之托嬰中心索取)。(二)3個月內之幼兒全戶戶口名簿影本，如父、母或監護人未與幼兒同戶籍，則需補附身分證影本。(三)與托育人員簽訂之托育契約書(親屬保母免附)。(四)申請人(父、母或監護人)之郵局帳戶封面影本。(五)家庭總所得文件：申請人免附證明文件，由中央統一查調，但列冊低收入戶、中低收入戶、特殊境遇家庭、高風險家庭(由高雄市政府社會局認定)、領有身心障礙手冊(證明)或發展遲緩證明之幼兒，需檢附相關證明文件。(六)就業證明文件：申請人(父、母或監護人)需檢附3個月內之就業證明(如任職單位所開立之在職證明或薪資單，並加蓋公司大小印，或勞工(農、漁民)保險證明)；惟育有3位子女以上家庭免附。(七)申請人一方就業，另一方因故未能就業之家庭，須檢未能就業者之中重度身心障礙手冊、服義務役證明、在監服刑或受保安處分證明。(八)戶政單位登載之第3胎(含)以上兒童相關證明(無則免附)。四、補助日期計算方式：(一)申請人於托育事實發生日起15日內，備齊申請文件送至托育地點所屬之居家托育服務中心或托嬰中心審核，則補助日期得自托育事實發生日起算。(二)申請人如逾時申請或未於期限內備齊申請文件，則補助日期自申請人備齊文件送至居家托育服務中心或托嬰中心之收件日(以郵戳日或簽收日為憑)起算。(三)申請本項補助托育期間超過半個月、不滿1個月者以1個月計，未達半個月者以半個月計。實際支付之托育費用低於補助金額者，核實補助。五、受理單位：各居家托育服務中心、立案托嬰中心※高雄市居家托育服務中心◎第一區：社團法人高雄市第一褓姆協會承辦，轄區：鳳山區，電話：07-7657367、07-7657368。◎第二區：美和科技大學承辦，轄區：三民西區、鼓山、旗津、前金、鹽埕、大寮、大樹、大社、仁武、林園、鳥松等區，電話：07-2817590、第二據點：07-7836006。◎第三區：財團法人伊甸社會福利基金會承辦，轄區：美濃、旗山、內門、六龜、甲仙、杉林、茂林、桃源、那瑪夏等區，電話：07-6614370。◎第四區：樹德科技大學承辦，第一轄區：三民東區、苓雅區，電話：07-7137686、07-7137612，電話：07-3850257。第二轄區：茄萣、路竹、燕巢、永安、彌陀、湖內、阿蓮、田寮、岡山等區，電話：07-6158185。◎第五區：樹德科技大學承辦，轄區：楠梓、左營、橋頭、梓官等區，電話： 07-5882855。◎第六區：美和科技大學承辦，轄區：新興、小港、前鎮等區，電話：07-2373487。※合法立案托嬰中心社會局網站：http://socbu.kcg.gov.tw首頁／托育福利／托育機構輔導與管理／托嬰中心名冊(含收退費基準)。"
2,請問大樓住戶可以在走廊、樓梯間堆放東西嗎？,高雄市政府工務局,工務,20110107,20170526,9513,依據公寓大廈管理條例第16條之規定，住戶不可以在共同走廊、樓梯間等共用部分堆置物品或雜物，如果經大樓管委會或管理負責人制止違規住戶而且仍然沒改善者，管委會或管理負責人可以報請工務局處理，而工務局通知違規住戶而仍未改善者，則將會處以罰鍰新台幣4到20萬元。另外消防局也會不定期到公寓大廈安全檢查，如果消防局發現住戶在共同走廊、樓梯間等共用部分堆置物品或雜物，則會通報工務局處理。為了大樓住戶自身和別人的安全，不要在共同走廊、樓梯間等共用部分堆置物品或雜物，若因堆置物品而造成別人的損傷，除了行政罰鍰，更可能有民、刑事的責任。承辦單位：建築管理處第六課電話：07-3368333轉2426
3,大樓裏的住戶發出噪音時，該如何處理？,高雄市政府工務局,工務,20121224,20170526,7944,依據內政部97.1.8內授營建管字第０９７０８００１１３號函釋略以：「依行政院環境保護署九十六年十二月三十一日環署空字第○九六○○九七二○五號函示：「二、有關住戶發生喧囂之行為時，若該行為違反噪音管制法第六條規定致妨害他人生活環境安寧，或製造噪音違反同法第七條規定，超過工廠（場）、娛樂場所、營業場所、營建工程、擴音設施及其他經公告之場所、工程及設施之噪音管制標準，則應以噪音管制法相關規定處理。三、另依據噪音管制法第四條規定，製造不具持續性或不易量測而足以妨害他人生活安寧之聲音者，由警察機關依有關法令處理之。」，故有關上開條例第十六條第一項所稱喧囂、振動之噪音管制標準，本條例未有明文，按條例第一條第二項規定，適用噪音管制法等其他相關法令規定辦理」承辦單位：建築管理處第六課電話：07-3368333轉2426
4,申請低收入戶之資格為何？如何申請？,高雄市政府社會局,社會,20110121,20161219,6722,"一、補助條件 (一)需設籍並實際居住本市市民。 (二)家庭總收入平均分配全家人口，每人每月未超過最低生活費(106年度每人每月不得超過12,941元）。 (三)動產規定：每人之存款本金、有價證券、財產交易、投資、中獎所得、車輛及其他一次性給付等，合計不得超過新台幣7萬5,000元。 (四)不動產規定：全家人口之土地公告現值及房屋評定標準價格合計不超過新台幣353萬元。 二、應備文件 (一)申請調查表（至區公所填寫）。(二)申請人身分證、印章、郵局存摺封面影本。(三)其他證明：醫院診斷證明書、學生證、在營服役證明等。三、服務單位、洽詢電話 本市各區公所社會(經)課、里辦公處 社會局救助科:3368333轉3372~3374。"
5,請問公寓大廈漏水的修繕責任及費用，要由誰來負擔呢？,高雄市政府工務局,工務,20110107,20170526,6601,首先要先看該漏水的部分是屬於專有部分、約定專用還是共用部分、約定共用部分，才可決定是誰有修繕的義務。一般來說，所謂的專有部分是指所有權人住家內的使用空間、外牆、陽台、露台、花台等，而約定專用是指經由規約或區分所有權人會議的決議，將共用部分，特別約定給特定區分所有權人使用，除此之外，其他部分都是屬於共用部分或約定共用部分。而專有部分、約定專用部分的修繕、管理、維護，由各該區分所有權人或約定專用部分之使用人為之，並負擔該費用。共用部分、約定共用部分之修繕、管理、維護，由管理負責人或管理委員會為之。其費用由公共基金支付或由區分所有權人按其共有之應有部分比例分擔。但如果漏水的原因可歸責於區分所有權人之事由所導致者（例如：住戶屋內裝潢，更改水電管路等），則修繕費由該區分所有權人負擔，而該費用區分所有權人會議或規約另有規定者，則從其規定。承辦單位：建築管理處第六課電話：07-3368333轉2426
6,請問符合低收入戶資格者，可獲補助金額為何？本市低收入戶各項補助何時發放？,高雄市政府社會局,社會,20110121,20161219,6405,"一、有關符合低收入戶資格者，可獲補助金額如下： （一）第一類列冊人口每人每月12,324元。 （二）第二類每戶每月6,115元。 （三）第三類（春節、端午、中秋）每節每戶各2,073元。 （四）第一、二、三、四類春節慰問金，單身每戶2,000元，有眷每戶3,000元。（五）子女生活扶助費：第二、三、四類戶內未滿15歲或15歲以上未滿18歲仍就讀國中者每人每月2,695元。（六）就學生活補助費：第二、三、四類戶內25歲以下就讀高中(職)以上學生每人每月6,115元。二、各項補助於月底(每月最後一個工作天)發放，皆直接匯入申請人指定帳戶。 承辦單位：社會局(社會救助科) 及本市各區公所電話：3368333轉3372~3374"
7,監視器裝設申請要點為何？,高雄市政府警察局,警政,20100228,20111229,5995,一、	法令規定：（一）「警察職權執行法」第10條：「警察對於經常發生或經合理判斷可能發生犯罪案件之公共場所或公眾得出入之場所，為維護治安之必要時，得協調相關機關（構）裝設監視器，或以現有之攝影或其他科技工具蒐集資料。」（二）「高雄市錄影監視系統設置管理及利用辦法」第3條：「本辦法所稱錄影監視系統，指本府或所屬機關基於維護治安、管理交通或其他公益目的而裝設於各項公共設施或公眾得出入之場所之攝錄影設備。」，同辦法第5條：「錄影監視系統得由設置機關於下列地區擇定適當地點設置之：一、犯罪事件發生頻繁之區域。二、警力及民間巡守薄弱之區域。三、交通事故發生頻繁或交通流量頻繁之道路。四、其他基於公益目的必要設置之區域。」二、對市民建議設置監視器之地點，警察局交由轄區分局派員會同建議人現地勘查，依據當地之治安狀況及既設監視器數量、監錄範圍等因素綜合評估，確認有設置必要者即報由警察局列入管制，視年度經費狀況及本市各地區治安求通盤規劃辦理。
8,建築物之定義及何謂違章建築？,高雄市政府工務局,工務,20110107,20110107,5726,有關建築物之定義及何謂違章建築：一、建築物：依建築法第4條規定：「本法所稱建築物，為定著於土地上或地面下具有頂蓋、樑柱或牆壁，供個人或公眾使用之構造物或雜項工作物。」。二、違章建築：依建築法第25條第1項規定：「建築物非經申請直轄市、縣(市)(局)主管建築機關之審查許可並發給執照，不得擅自建造或使用或拆除。」及違章建築處理辦法第2條規定：「本辦法所稱之違章建築，為建築法適用地區內，依法應申請當地主管建築機關之審查許可，並發給執照，方能建築，而擅自建築之建築物。」，故凡是未領有建築執照而擅自興建之建築物，或未領有使用執照而使用之建築物，皆稱為違章建築。承辦單位：違章建築處理大隊查報組電    話：5618712轉102
9,「什麼是自然人憑證？要到那裡辦？要如何使用？,高雄市政府民政局,民政區政,20100228,20161229,5420,一、所謂自然人憑證就是網路上的身分證，民眾只要上網利用自然人憑證驗證身分，就可申辦多項政府提供的e化服務。二、自然人憑證可跨縣市辦理，沒有戶籍地限制，申請人只需攜帶下列證件到全國任一戶政事務所申辦：(一) 國民身分證正本(二) E-MAIL信箱(三)規費新台幣250元三、民眾使用自然人憑證IC卡，機關單位就可以透過自然人憑證確認網際網路使用者的身分，目前政府機關提供的網路申辦服務項目有網路報稅、勞農保及健保網路查詢…等業務。四、注意事項﹕(一)申辦自然人憑證需年滿十八歲以上具有中華民國國籍且在台灣設有 戶籍，必須本人親自辦理不可委託！(二)自然人憑證需透過讀卡機才能使用。讀卡機建議規格及相關購買資訊可連結至MOICA專屬網站，網址：http://moica.nat.gov.tw/（讀卡機），或至中華電信各地營業處櫃台服務點洽詢。(三)可委託他人代為辦理自然人憑證其他業務項目﹕1.憑證用戶代碼重設2.憑證IC卡停用3.憑證IC卡復用4.憑證IC卡展期5.修改手機號碼6.修改憑證內電子信箱7.修改連絡用電子信箱8.修改憑證公佈狀態
10,何謂戀舊拍賣網？,高雄市政府財政局,財政,20100308,20111124,5256,答覆內容：高雄市政府戀舊拍賣網已於９９年３月１日正式開張，目前高雄市政府各機關學校經管報廢之動產及物品，先經由交換平台提供市府各機關學校進行報廢財產或物品之移撥，於期限內未完成移撥，將陳列於本網頁供民眾競標，另為提供民眾更多樣化選擇，於99年8月將財政局動產質借所之流當品與市府環保局之資源回收品納入拍賣網進行拍賣。高雄市政府戀舊拍賣網網站：https://reuse.kcg.gov.tw/Main/index.aspx
